cell,rate,w,method,eval,mean_reward,best_val_ber
R0.667_w3,0.667,3,rl,40,2.4468,1.0693e-03
R0.667_w3,0.667,3,rl,80,2.6345,1.0693e-03
R0.667_w3,0.667,3,rl,120,2.2626,1.0022e-03
R0.667_w3,0.667,3,rl,160,2.5263,6.8261e-04
R0.667_w3,0.667,3,rl,200,3.0905,6.8261e-04
R0.667_w3,0.667,3,rl,240,2.7663,6.8261e-04
R0.667_w3,0.667,3,rl,280,2.5704,6.8261e-04
R0.667_w3,0.667,3,rl,320,2.7949,6.8261e-04
R0.667_w3,0.667,3,rl,360,2.8356,4.9716e-04
R0.667_w3,0.667,3,rl,400,2.9234,3.2355e-04
R0.667_w3,0.667,3,rl,440,3.3027,3.2355e-04
R0.667_w3,0.667,3,rl,480,3.0212,3.2355e-04
R0.667_w3,0.667,3,rl_peredge,40,2.5363,1.4895e-03
R0.667_w3,0.667,3,rl_peredge,80,2.6270,1.4264e-03
R0.667_w3,0.667,3,rl_peredge,120,2.5911,1.4264e-03
R0.667_w3,0.667,3,rl_peredge,160,2.6938,1.1087e-03
R0.667_w3,0.667,3,rl_peredge,200,2.8099,1.1087e-03
R0.667_w3,0.667,3,rl_peredge,240,3.0315,8.3649e-04
R0.667_w3,0.667,3,rl_peredge,280,3.2086,8.3649e-04
R0.667_w3,0.667,3,rl_peredge,320,3.0768,8.3649e-04
R0.667_w3,0.667,3,rl_peredge,360,3.2852,3.9654e-04
R0.667_w3,0.667,3,rl_peredge,400,3.0986,3.9654e-04
R0.667_w3,0.667,3,rl_peredge,440,3.1272,3.9654e-04
R0.667_w3,0.667,3,rl_peredge,480,3.1358,3.9654e-04
R0.667_w3,0.667,3,cem,40,,7.7928e-04
R0.667_w3,0.667,3,cem,80,,7.7928e-04
R0.667_w3,0.667,3,cem,120,,7.7928e-04
R0.667_w3,0.667,3,cem,160,,7.7928e-04
R0.667_w3,0.667,3,cem,200,,7.7928e-04
R0.667_w3,0.667,3,cem,240,,7.7928e-04
R0.667_w3,0.667,3,cem,280,,7.7928e-04
R0.667_w3,0.667,3,cem,320,,7.7928e-04
R0.667_w3,0.667,3,cem,360,,7.7928e-04
R0.667_w3,0.667,3,cem,400,,7.7928e-04
R0.667_w3,0.667,3,cem,440,,3.7484e-04
R0.667_w3,0.667,3,cem,480,,3.7484e-04
R0.667_w3,0.667,3,random,40,,1.4579e-03
R0.667_w3,0.667,3,random,80,,1.3928e-03
R0.667_w3,0.667,3,random,120,,1.0022e-03
R0.667_w3,0.667,3,random,160,,8.9765e-04
R0.667_w3,0.667,3,random,200,,8.9765e-04
R0.667_w3,0.667,3,random,240,,8.9765e-04
R0.667_w3,0.667,3,random,280,,8.9765e-04
R0.667_w3,0.667,3,random,320,,8.9765e-04
R0.667_w3,0.667,3,random,360,,8.9765e-04
R0.667_w3,0.667,3,random,400,,8.9765e-04
R0.667_w3,0.667,3,random,440,,8.9765e-04
R0.667_w3,0.667,3,random,480,,8.9765e-04
R0.75_w1,0.75,1,rl,40,2.3235,6.1225e-03
R0.75_w1,0.75,1,rl,80,2.1627,5.6770e-03
R0.75_w1,0.75,1,rl,120,1.9775,2.8232e-03
R0.75_w1,0.75,1,rl,160,2.4188,2.8232e-03
R0.75_w1,0.75,1,rl,200,2.2352,1.9354e-03
