group,n_levels,pd_B_GHz,L_km,ROP_dBm,eq,ffe_taps,dfe_taps,snr_dB,evm_pct,ser,ber,ber_msb,ber_lsb,bit_ber_ratio,sigma,acf1,acf2,acf3,sfm,isi_m1,isi_p1,isi_m2,isi_p2,isi_m3,isi_p3,lvl_var_ratio
PAM4,4,30.0,2.0,2.0,FFE,41,0,5.46051289881981,53.330340317381165,0.3575,0.18425,0.11425,0.25425,2.2253829321663017,0.5323425915379651,-0.8180967210880158,0.5607708617805074,-0.2505434967108626,0.037707147255518075,0.4035341288166322,0.40469592251408965,-0.30371234325614804,-0.3003391964533607,0.14790093184013678,0.15329210230414533,1.4414918115934252
PAM4,4,30.0,2.0,6.0,DFE6,41,6,9.427760224761252,33.77629341977874,0.039,0.022875,0.01575,0.03,1.9047619047619047,0.33715441275313957,-0.4887485713860297,-0.09329564140365944,0.29181772433205183,0.4215418240581891,0.06617835449737355,0.12737250467925296,-0.09996730129058232,-0.07376014315896846,0.09857755441119968,-0.015032988752613472,1.2813330245016803
PAM4,4,30.0,2.0,6.0,FFE,41,0,5.4413695700677,53.44800772267268,0.35775,0.18425,0.11425,0.25425,2.2253829321663017,0.5335171456679341,-0.81727921808946,0.5558370970178714,-0.24533976585476902,0.03722011924753209,0.40269260106309074,0.4031698608392638,-0.3031085551091272,-0.29988258454592714,0.14876647335015689,0.1526397950763712,1.489466719142594
PAM6,6,30.0,2.0,-2.0,DFE6,41,6,2.094251783238512,78.57554660506999,0.341,nan,nan,nan,nan,0.7843173399931668,-0.5826865605989446,-0.04175101403747016,0.41063512399657726,0.4011746251592622,0.06665755282453671,0.2740107593529425,-0.08854991638569425,-0.19683173445365904,0.07205936185383784,0.024723744248915106,1.420900961591185
PAM6,6,30.0,2.0,-2.0,FFE,41,0,5.335272351109665,54.10487306051605,0.55325,nan,nan,nan,nan,0.5400584781519522,-0.7974395462892206,0.5455560414065653,-0.25492601132237397,0.03959758636735367,0.40220627837650375,0.40797584509040336,-0.30070641829972183,-0.2993076980612289,0.1434937227493896,0.15347492420238787,1.476229024048939
PAM6,6,30.0,2.0,2.0,DFE6,41,6,1.4754348742899226,84.37781137409888,0.35425,nan,nan,nan,nan,0.8422337919454993,-0.5743535407182766,-0.0592386596579473,0.41634846828662897,0.3967839244462337,0.046929726742622475,0.28923677631742967,-0.06735885779642459,-0.22112647889818302,0.048343813549976945,0.03668085556120685,1.3714528553637988
PAM6,6,30.0,2.0,2.0,FFE,41,0,5.311075385638978,54.255807395221126,0.554,nan,nan,nan,nan,0.5415650590288823,-0.7972013200613355,0.5417361768953092,-0.24960475615254268,0.036701493525866755,0.40096455280090365,0.40487719814947,-0.29982056304697097,-0.2989989284081783,0.14496301167040007,0.15312177904927035,1.5684070700326846
PAM6,6,30.0,2.0,6.0,DFE6,41,6,2.226583658216236,77.38750001215743,0.30075,nan,nan,nan,nan,0.7724586182431994,-0.5697180625886639,-0.057586520103838135,0.38252423732320234,0.41980234322499377,0.04601012393579463,0.2597900176217769,-0.07849254914279667,-0.20233085124702208,0.06648929407708942,0.03522208743843535,1.3457625107561728
PAM6,6,30.0,2.0,6.0,FFE,41,0,5.313987728957085,54.237618694078485,0.553,nan,nan,nan,nan,0.5413835049154908,-0.7989470108823358,0.5412187653306909,-0.24821948836907284,0.035990793579089915,0.401175500761147,0.40417858746890944,-0.29988288443763256,-0.2992622259679557,0.1460351706138507,0.15310321197528673,1.6192873492314286
PAM4,4,40.0,10.0,-12.0,FFE,41,0,17.779526891155037,12.912896065238055,0.0005,0.00025,0.0,0.0005,4.9999999999999994e+26,0.12889631895690062,-0.17123542294728886,0.0709185906586804,-0.06773446289387453,0.9312939006687547,0.04779414873602299,0.04866866390059735,-0.024597610513728652,-0.02079858343721172,-0.013531034319812873,-0.015620506931023369,1.1846430070141485
