cell,rate,w,method,eval,mean_reward_loss,best_val_fer
R0.667_w2,0.667,2,rl,560,-0.2875,0.0625
R0.667_w2,0.667,2,rl,640,-0.1547,0.0625
R0.667_w2,0.667,2,rl,720,-0.1875,0.0625
R0.667_w2,0.667,2,rl,800,-0.3016,0.0625
R0.667_w2,0.667,2,rl_peredge,80,-0.3219,0.2750
R0.667_w2,0.667,2,rl_peredge,160,-0.4156,0.1375
R0.667_w2,0.667,2,rl_peredge,240,-0.2313,0.1125
R0.667_w2,0.667,2,rl_peredge,320,-0.2172,0.1125
R0.667_w2,0.667,2,rl_peredge,400,-0.2250,0.1125
R0.667_w2,0.667,2,rl_peredge,480,-0.1281,0.1000
R0.667_w2,0.667,2,rl_peredge,560,-0.1469,0.1000
R0.667_w2,0.667,2,rl_peredge,640,-0.1547,0.1000
R0.667_w2,0.667,2,rl_peredge,720,-0.1156,0.1000
R0.667_w2,0.667,2,rl_peredge,800,-0.1344,0.0875
R0.667_w2,0.667,2,cem,80,,0.1750
R0.667_w2,0.667,2,cem,160,,0.1750
R0.667_w2,0.667,2,cem,240,,0.1750
R0.667_w2,0.667,2,cem,320,,0.1750
R0.667_w2,0.667,2,cem,400,,0.1250
R0.667_w2,0.667,2,cem,480,,0.1250
R0.667_w2,0.667,2,cem,560,,0.1250
R0.667_w2,0.667,2,cem,640,,0.1250
R0.667_w2,0.667,2,cem,720,,0.1250
R0.667_w2,0.667,2,cem,800,,0.1000
R0.667_w2,0.667,2,random,80,,0.2125
R0.667_w2,0.667,2,random,160,,0.1750
R0.667_w2,0.667,2,random,240,,0.1750
R0.667_w2,0.667,2,random,320,,0.1750
R0.667_w2,0.667,2,random,400,,0.1750
R0.667_w2,0.667,2,random,480,,0.1750
R0.667_w2,0.667,2,random,560,,0.1750
R0.667_w2,0.667,2,random,640,,0.1750
R0.667_w2,0.667,2,random,720,,0.1500
R0.667_w2,0.667,2,random,800,,0.1500
R0.667_w3,0.667,3,rl,80,-0.3328,0.0500
R0.667_w3,0.667,3,rl,160,-0.2359,0.0375
R0.667_w3,0.667,3,rl,240,-0.0859,0.0375
R0.667_w3,0.667,3,rl,320,-0.0578,0.0250
R0.667_w3,0.667,3,rl,400,-0.0125,0.0000
R0.667_w3,0.667,3,rl,480,-0.0047,0.0000
R0.667_w3,0.667,3,rl,560,-0.0016,0.0000
R0.667_w3,0.667,3,rl,640,-0.0078,0.0000
R0.667_w3,0.667,3,rl,720,-0.0047,0.0000
R0.667_w3,0.667,3,rl,800,-0.0031,0.0000
R0.667_w3,0.667,3,rl_peredge,80,-0.4125,0.0500
R0.667_w3,0.667,3,rl_peredge,160,-0.2578,0.0500
R0.667_w3,0.667,3,rl_peredge,240,-0.1656,0.0500
R0.667_w3,0.667,3,rl_peredge,320,-0.1688,0.0500
R0.667_w3,0.667,3,rl_peredge,400,-0.1062,0.0250
R0.667_w3,0.667,3,rl_peredge,480,-0.0688,0.0250
R0.667_w3,0.667,3,rl_peredge,560,-0.0563,0.0000
R0.667_w3,0.667,3,rl_peredge,640,-0.0453,0.0000
R0.667_w3,0.667,3,rl_peredge,720,-0.0391,0.0000
R0.667_w3,0.667,3,rl_peredge,800,-0.0328,0.0000
R0.667_w3,0.667,3,cem,80,,0.0375
R0.667_w3,0.667,3,cem,160,,0.0375
R0.667_w3,0.667,3,cem,240,,0.0125
R0.667_w3,0.667,3,cem,320,,0.0125
R0.667_w3,0.667,3,cem,400,,0.0125
R0.667_w3,0.667,3,cem,480,,0.0125
R0.667_w3,0.667,3,cem,560,,0.0125
R0.667_w3,0.667,3,cem,640,,0.0125
R0.667_w3,0.667,3,cem,720,,0.0125
R0.667_w3,0.667,3,cem,800,,0.0125
R0.667_w3,0.667,3,random,80,,0.2125
R0.667_w3,0.667,3,random,160,,0.0750
R0.667_w3,0.667,3,random,240,,0.0750
R0.667_w3,0.667,3,random,320,,0.0750
R0.667_w3,0.667,3,random,400,,0.0625
R0.667_w3,0.667,3,random,480,,0.0625
R0.667_w3,0.667,3,random,560,,0.0625
R0.667_w3,0.667,3,random,640,,0.0625
R0.667_w3,0.667,3,random,720,,0.0625
R0.667_w3,0.667,3,random,800,,0.0625
R0.75_w1,0.75,1,rl,80,-0.0688,0.0875
R0.75_w1,0.75,1,rl,160,-0.0234,0.0250
